trial,score,best_so_far,peak_timing,best_peak_timing,peak_height,best_peak_height,crash_ratio,best_crash_ratio
470,4.790234064363958,0.11495107880511861,15,2,0.18289047507611758,0.02725902500264201,0.9,0.033598242143165036
471,2.428058655266852,0.11495107880511861,13,2,0.09381740520344946,0.02725902500264201,0.09999999800568692,0.033598242143165036
472,86.99684356922106,0.11495107880511861,15,2,3.1468808160917785,0.02725902500264201,0.9,0.033598242143165036
473,1.6098694113598806,0.11495107880511861,19,2,0.9374008156118012,0.02725902500264201,0.04684085425209279,0.033598242143165036
474,0.9088218069495279,0.11495107880511861,19,2,0.6534442891322202,0.02725902500264201,0.1824718840835318,0.033598242143165036
475,1.7580935231040087,0.11495107880511861,12,2,0.12931180872895084,0.02725902500264201,0.33665477551727085,0.033598242143165036
476,0.7098721716847601,0.11495107880511861,12,2,0.5366653812463772,0.02725902500264201,0.21043129387358897,0.033598242143165036
477,4.5523967271349015,0.11495107880511861,15,2,0.503066225008002,0.02725902500264201,0.09999999999984724,0.033598242143165036
478,6.246117558509883,0.11495107880511861,2,2,1.2830687163456183,0.02725902500264201,0.09959689263719823,0.033598242143165036
479,1.962593431471628,0.11495107880511861,9,2,0.1300408912030635,0.02725902500264201,0.07206479984368384,0.033598242143165036
480,0.6927333634296369,0.11495107880511861,18,2,0.6499399781988527,0.02725902500264201,0.5505194609205003,0.033598242143165036
481,93.83761437938682,0.11495107880511861,10,2,2.7997036907829402,0.02725902500264201,0.8434389118298934,0.033598242143165036
482,41.13556799492169,0.11495107880511861,8,2,1.6716557912533894,0.02725902500264201,0.8746411246702583,0.033598242143165036
483,3.9132898122435753,0.11495107880511861,15,2,0.4513697614137709,0.02725902500264201,0.9,0.033598242143165036
484,84.57572741745152,0.11495107880511861,1,2,3.834340756977527,0.02725902500264201,0.7432621527404869,0.033598242143165036
485,33.1288328934113,0.11495107880511861,15,2,1.5747635408923055,0.02725902500264201,0.9,0.033598242143165036
486,1.859994800190204,0.11495107880511861,18,2,0.3896325805045202,0.02725902500264201,0.1,0.033598242143165036
487,14.150138967582288,0.11495107880511861,7,2,0.5810416214562597,0.02725902500264201,0.8929047113050462,0.033598242143165036
488,1.5248314545452513,0.11495107880511861,15,2,0.7341948655471227,0.02725902500264201,0.9,0.033598242143165036
489,19.063256210796112,0.11495107880511861,15,2,0.9975401942983081,0.02725902500264201,0.9,0.033598242143165036
490,2.8590171748846345,0.11495107880511861,11,2,0.17766965782325816,0.02725902500264201,0.037431539893326676,0.033598242143165036
491,1.978666356250434,0.11495107880511861,17,2,0.33456115348698734,0.02725902500264201,0.09999999832812044,0.033598242143165036
492,5.6065491606271,0.11495107880511861,12,2,0.6016956483161234,0.02725902500264201,0.09999999983786788,0.033598242143165036
493,5.199307061059204,0.11495107880511861,10,2,0.13747539648386708,0.02725902500264201,0.7447535226283596,0.033598242143165036
494,2.4922651101935585,0.11495107880511861,11,2,0.1664967366396381,0.02725902500264201,0.7686231546778929,0.033598242143165036
495,1.5020195208878238,0.11495107880511861,15,2,0.685280224413265,0.02725902500264201,0.9,0.033598242143165036
496,1.8135955158601444,0.11495107880511861,18,2,0.5003548586445888,0.02725902500264201,0.1,0.033598242143165036
497,16.427299158626358,0.11495107880511861,12,2,1.6080385908882002,0.02725902500264201,0.2705418254269223,0.033598242143165036
498,4.3566541126591325,0.11495107880511861,15,2,0.533890474285664,0.02725902500264201,0.9,0.033598242143165036
499,8.104869264387029,0.11495107880511861,1,2,0.3024931321584394,0.02725902500264201,0.8915715278256008,0.033598242143165036
500,0.7098124480999857,0.11495107880511861,17,2,0.620208819404511,0.02725902500264201,0.7850115794143719,0.033598242143165036
501,7.218528699151733,0.11495107880511861,8,2,0.24178496446995618,0.02725902500264201,0.8164741214088207,0.033598242143165036
502,3.858109457262886,0.11495107880511861,13,2,0.3513272406112749,0.02725902500264201,0.09999999999066533,0.033598242143165036
503,61.27142235681117,0.11495107880511861,3,2,2.256352528674763,0.02725902500264201,0.8657378098042259,0.033598242143165036
504,0.37807127120199135,0.11495107880511861,2,2,0.5510826139266162,0.02725902500264201,0.2252685557410147,0.033598242143165036
505,10.972482027004494,0.11495107880511861,10,2,1.1171199443563316,0.02725902500264201,0.8921762132531047,0.033598242143165036
506,2.340270539902753,0.11495107880511861,11,2,0.013481844310497981,0.02725902500264201,0.023613186185764218,0.033598242143165036
507,4.640233842219995,0.11495107880511861,15,2,0.19762369600445934,0.02725902500264201,0.5167205445508833,0.033598242143165036
508,11.920182316960025,0.11495107880511861,15,2,1.2417232771047724,0.02725902500264201,0.9,0.033598242143165036
509,4.812482792010584,0.11495107880511861,11,2,0.7879863324431883,0.02725902500264201,0.015941338194632185,0.033598242143165036
510,13.469200606612123,0.11495107880511861,15,2,0.7470664832490129,0.02725902500264201,0.9,0.033598242143165036
511,66.14860596621551,0.11495107880511861,15,2,3.569136879116247,0.02725902500264201,0.9,0.033598242143165036
512,1.7858359348080295,0.11495107880511861,15,2,0.15773253686965544,0.02725902500264201,0.9,0.033598242143165036
513,2.143900048098604,0.11495107880511861,17,2,0.2064114439804756,0.02725902500264201,0.09999999999870937,0.033598242143165036
514,93.97458705859385,0.11495107880511861,10,2,2.859787106038022,0.02725902500264201,0.8193957950563303,0.033598242143165036
515,5.617775176617742,0.11495107880511861,14,2,1.027307781421869,0.02725902500264201,0.09999999999999602,0.033598242143165036
516,41.735563657911136,0.11495107880511861,15,2,1.8690342288426876,0.02725902500264201,0.9,0.033598242143165036
517,17.273126757330385,0.11495107880511861,13,2,0.982178243607168,0.02725902500264201,0.8999919339514969,0.033598242143165036
518,4.144657040624338,0.11495107880511861,9,2,0.0278568117340334,0.02725902500264201,0.8555110400326136,0.033598242143165036
519,65.21607912647904,0.11495107880511861,14,2,2.3940044654182344,0.02725902500264201,0.8999973398621592,0.033598242143165036
520,4.099947165428816,0.11495107880511861,13,2,0.46441516357331014,0.02725902500264201,0.17121830728832807,0.033598242143165036
521,14.65047286925971,0.11495107880511861,12,2,2.402493560790518,0.02725902500264201,0.09999999999998173,0.033598242143165036
522,1.6494863150081729,0.11495107880511861,19,2,0.7851590942980797,0.02725902500264201,0.09853591394004899,0.033598242143165036
523,1.264027071994194,0.11495107880511861,19,2,0.7307299799708247,0.02725902500264201,0.14734880845827053,0.033598242143165036
524,53.613074890717364,0.11495107880511861,15,2,2.1630784468072526,0.02725902500264201,0.9,0.033598242143165036
525,2.1095711017650336,0.11495107880511861,15,2,0.36767721832110006,0.02725902500264201,0.09999999978803406,0.033598242143165036
526,239.67186373032857,0.11495107880511861,1,2,5.056335719329246,0.02725902500264201,0.8949516317065754,0.033598242143165036
527,7.043837070803309,0.11495107880511861,6,2,1.2557495219568795,0.02725902500264201,0.099369231304119,0.033598242143165036
528,12.01055334169281,0.11495107880511861,8,2,1.1409301037700768,0.02725902500264201,0.18486598235070997,0.033598242143165036
