trial,score,deer.birth,deer.surv,metric.crash_ratio,metric.peak_height,metric.peak_timing,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
49,25.17506662804844,1.3022833332293933,0.7940731149256461,0.5200003246994219,1.464701242639934,13,0.003596510169399198,0.47906144010074164,0.00831416323872808,0.28749981678708936,0.5700237650658936,270544.7419102143,0.5928565473092043
50,0.13942306151467332,0.7332723936185174,0.6186750740046366,0.07486489234773379,0.061193967881452406,1,0.0031884883531623936,0.7009416316525907,0.0052369331376384215,0.32457176538143717,0.284804662093832,317969.74149106717,0.5393527809076246
51,3.1350753752111786,0.7445435963739662,0.6534605928410059,0.9,0.02827799669764805,15,0.0027009910364810233,0.16761795228873236,0.0023510517232954585,0.35615641178055457,0.1714368905178915,104794.67323671546,0.17201249368134758
52,5.428381064318915,0.9883500264535238,0.6995716323695148,0.8898246695872046,0.08261961466529523,8,0.0010345685303772942,0.40712199010741174,0.009053142859484761,0.3045173246759858,0.24455962179995203,100553.23222844099,0.4267872935997858
53,1.5949472529501287,0.8423429260349404,0.5028301201203167,0.024206076169108234,0.004060541343471414,8,0.0017591181339577878,0.690453856300478,0.00854180710816259,0.4781122590809499,0.45935674567084167,354154.25033725897,0.4203585620338011
54,3.154278018097885,1.0429273300471171,0.605858573275433,0.0999999999870633,0.06614333495221275,12,0.0010974984622898701,0.42046057963964106,0.0003387969584698167,0.18798088553823974,0.3276793858403034,319205.01407297625,0.2572225567515949
55,47.463379319479884,0.9206511343090791,0.5612613426949571,0.8913266473236994,1.7813176531006878,3,0.003111473676389837,0.07292148411936704,0.003970501550580062,0.29526423202164387,0.09902683872210528,209381.33412404387,0.41069371216672634
56,0.6536996375249227,0.9155285996463605,0.5241366240745412,0.4442766852980694,0.5477397724148276,11,0.0018958297690086041,0.22991124157975928,0.00330211575856902,0.3877779627101927,0.08141969233833854,285679.88736298744,0.02599020734078434
57,4.900631310232746,0.7270443786041425,0.5393149917255884,0.4433304222763653,0.3977772048744466,7,9.740674360652845e-05,0.5085061907341536,0.009999082893666631,0.19448136154848644,0.4991545710931635,320643.14353753114,0.23368446718284042
58,2.9832023692270044,1.1788098836535736,0.9558136317036746,0.09999999996080901,0.20167925065839518,16,0.0009972037314714833,0.0673230147222825,0.0015662043405586642,0.08932385819087693,0.3910527931463336,329994.57587548636,0.3935850150174262
59,60.78526927491361,1.1295184741215358,0.8681110872109956,0.8935769902983971,2.1525796931683656,1,0.0008393618222673274,0.566160369807292,0.007491860236955094,0.0838304495480819,0.1307787245439022,260470.2662176061,0.4049807183257473
60,4.769373527925839,0.5231105829477194,0.6497394773094537,0.892401997354987,0.8583079999078898,14,0.0033868977606086193,0.8644469124750116,0.003996711693090442,0.36605691137325014,0.06485924979456394,388710.64737090806,0.49338769284354017
61,1.889419866484012,0.5917111749013788,0.8707908247765875,0.09999999969343129,0.41239685904037005,13,0.004251541048824437,0.5603498725943176,0.0012544978974197854,0.4924068452118955,0.37634543736062664,300996.61309855373,0.05483792192740538
62,1.524272448589754,0.8335137885962505,0.7428611790449974,0.046831184327362704,0.5856033725430984,18,0.0017064852587189855,0.7721392829496407,0.008232192634996078,0.07960326920267932,0.25702680794084665,191105.20489870367,0.4717548543530016
63,1.9821709762035953,1.1365777793354692,0.709033829603685,0.33170773453586155,0.016702643771359434,14,0.003669109622414953,0.870652671552366,0.0027373198440546385,0.4098536328391753,0.4972243866014749,283387.2339524627,0.5768646646566014
64,23.238483083651005,1.15792359287461,0.6288298582636281,0.8937224396904071,1.3850664781151423,14,0.004258639943516649,0.756121366057013,0.0009122958356539603,0.4443666564813028,0.26134469580233655,234719.20124262274,0.3275220148044709
65,10.15374630561334,0.8410903737154376,0.513775998929643,0.9,0.6812437084025066,15,0.00425483870514414,0.20456387858403802,0.0021605925092884034,0.4049812077092053,0.3661990225383124,228706.70931303417,0.15387942912266403
66,42.93992105606222,0.7486417181805665,0.504872534930565,0.7474174534228069,2.4493595926643548,1,0.004740338857596268,0.12277101766431807,0.007214742907836733,0.25963158801893005,0.42071025019932096,361702.39352263213,0.21079991746692736
67,21.369215257807443,0.9417392015707275,0.8806077767035123,0.7373006263501359,1.2749622074623577,1,0.0004657202260980811,0.23835694040165062,0.0069332821951872585,0.17391683416114154,0.38754173984457135,300994.9886228874,0.4573171455546552
68,28.807797937957744,0.8829534314346932,0.8580490096225326,0.8707959919424082,1.374467647236336,5,0.001654291090331053,0.6474267008579037,0.002745618448413154,0.1481597278144425,0.31855315868746065,231443.35640304792,0.3531177953460966
69,1.2064078403083314,0.9822775688453748,0.8658510125523694,0.22516092012759045,0.296707104179671,14,0.0009261566372670911,0.23392694389681484,0.004867775942766451,0.3705549505137342,0.0717328447530317,141626.97390448558,0.08118697200386042
70,38.091293938031676,0.5904734972817117,0.5931764374837153,0.8378566022552546,2.0489653449642793,1,0.0011378020758310325,0.20252531213259284,0.00019077625419783512,0.2810434919558017,0.16979922196497302,247883.79811475452,0.5861981435010035
71,31.71307310610597,1.127675653619175,0.5606141566200362,0.9,1.9569907289149484,15,0.004342371755716089,0.467246890345212,0.00873356136323542,0.29981018322437614,0.332015380079165,391774.37795287615,0.17184368280212772
72,1.2496942519847625,0.5462390454652201,0.9517105264486896,0.033123921808349055,0.609981949392354,7,0.002388907071734806,0.7487982985045158,0.0040370390504068,0.06481862002015071,0.11061820223404903,220950.01540352328,0.286944197509001
73,9.09030936036095,1.0065556373761078,0.6458410456842693,0.8921252606718545,0.3384388107303393,1,0.004969593654489746,0.15068382787974233,0.007656212280995633,0.31496929608419244,0.0895185506841931,97154.90377361061,0.381372967101679
